episode_index,scene_id,source_color,base_color,instruction,num_steps,exception,failure_class,ever_source_contact_success,ever_source_lift_success,final_source_contact_success,final_strict_stack_success,final_gripper_open,ever_non_source_robot_touch,ever_base_robot_touch,source_lift_delta_final,final_stack_xy_distance,final_stack_z_delta,first_source_contact_step,first_source_lift_step,first_strict_stack_step,final_touching_colors,gif_path
1,1,red,blue,stack the red cylinder on the blue cylinder,100,,no_source_grasp_or_lift,False,False,False,False,True,False,False,0.00012050289660692215,0.05895026521355126,0.0,,,,[],
2,2,red,yellow,stack the red cylinder on the yellow cylinder,87,,strict_stack_success_clean,True,True,False,True,True,False,False,0.02015835139900446,0.009341567536787547,0.020060707814991474,35,39,82,[],
3,3,yellow,blue,stack the yellow cylinder on the blue cylinder,100,,on_top_but_not_released,True,True,True,False,False,False,False,0.05044093821197748,0.010034108742795339,0.05032043531537056,27,32,,"[""yellow""]",
4,4,blue,yellow,stack the blue cylinder on the yellow cylinder,82,,strict_stack_success_clean,True,True,False,True,True,False,False,0.020195593126118183,0.00449795432922082,0.020067199133336544,27,32,71,[],
5,5,blue,green,stack the blue cylinder on the green cylinder,100,,on_top_but_not_released,True,True,True,False,False,False,False,0.05911865923553705,0.0016684302030911364,0.05899815633893013,25,29,,"[""blue""]",
6,6,green,blue,stack the green cylinder on the blue cylinder,100,,strict_stack_success_clean,True,True,False,True,True,False,False,0.020093374885618687,0.007757490599826325,0.0199631005525589,30,35,91,[],
7,7,green,yellow,stack the green cylinder on the yellow cylinder,100,,no_source_grasp_or_lift,False,False,False,False,True,False,False,0.00012050289660692215,0.059525087007333444,0.0,,,,[],
8,8,red,green,stack the red cylinder on the green cylinder,91,,strict_stack_success_clean,True,True,False,True,True,False,False,0.02015999983996153,0.007172946036384079,0.020062356255948544,35,39,86,[],
9,9,green,red,stack the green cylinder on the red cylinder,100,,no_source_grasp_or_lift,False,False,False,False,True,False,False,-0.0014955312944948673,0.07533023505828512,-0.0028523379005491734,,,,[],
10,10,yellow,red,stack the yellow cylinder on the red cylinder,100,,on_top_but_not_released,True,True,True,False,False,False,False,0.05768932215869427,0.007241114993763151,0.05768970865756273,30,35,,"[""yellow""]",
11,11,blue,red,stack the blue cylinder on the red cylinder,100,,on_top_but_not_released,True,True,True,False,False,False,False,0.02762830350548029,0.0022390974458800566,0.027507800608873367,36,40,,"[""blue""]",
12,12,yellow,green,stack the yellow cylinder on the green cylinder,100,,on_top_but_not_released,True,True,True,False,False,False,False,0.06802228931337595,0.005552257924429336,0.06790178641676903,64,68,,"[""yellow""]",
